2020-09-30 15:13:22,826, CALLERID(number)=0000000000, UNIQUEID=1601503992.2570, CHANNEL=SIP/685-00000560, name=macro-filterdial
2020-09-30 15:13:23,196, CALLERID(number)=0000000000, UNIQUEID=1601503992.2570, CHANNEL=SIP/685-00000560, name=macro-dial
2020-09-30 15:13:33,887, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=outgoing-by-calling-extension
2020-09-30 15:13:34,494, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=outgoing_detroit_menu
2020-09-30 15:13:38,584, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=outgoing-dialtone-wrapper
2020-09-30 15:13:44,899, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=macro-filterdial
2020-09-30 15:13:45,273, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=macro-dial
2020-09-30 15:14:10,930, CALLERID(number)=0000000000, UNIQUEID=1601504013.2573, CHANNEL=SIP/685-00000562, name=outgoing-dialstatus-ANSWER-twilio-termination
2020-09-30 15:45:18,835, CALLERID(number)=0000000000, UNIQUEID=1601505918.2577, CHANNEL=SIP/645-00000564, name=outgoing-by-calling-extension
2020-09-30 15:45:19,359, CALLERID(number)=0000000000, UNIQUEID=1601505918.2577, CHANNEL=SIP/645-00000564, name=outgoing_portland_menu
2020-09-30 15:45:20,691, CALLERID(number)=0000000000, UNIQUEID=1601505918.2577, CHANNEL=SIP/645-00000564, name=outgoing-dialtone-wrapper
2020-09-30 15:45:38,810, CALLERID(number)=0000000000, UNIQUEID=1601505938.2579, CHANNEL=SIP/645-00000565, name=outgoing-by-calling-extension
2020-09-30 15:45:39,823, CALLERID(number)=0000000000, UNIQUEID=1601505938.2579, CHANNEL=SIP/645-00000565, name=outgoing_portland_menu
2020-09-30 15:45:45,424, CALLERID(number)=0000000000, UNIQUEID=1601505945.2581, CHANNEL=SIP/645-00000566, name=outgoing-by-calling-extension
2020-09-30 15:45:47,710, CALLERID(number)=0000000000, UNIQUEID=1601505945.2581, CHANNEL=SIP/645-00000566, name=outgoing_portland_menu
2020-09-30 15:49:11,215, CALLERID(number)=0000000000, UNIQUEID=1601506150.2583, CHANNEL=SIP/645-00000567, name=outgoing-by-calling-extension
2020-09-30 15:49:11,823, CALLERID(number)=0000000000, UNIQUEID=1601506150.2583, CHANNEL=SIP/645-00000567, name=outgoing_portland_menu
2020-09-30 15:49:13,397, CALLERID(number)=0000000000, UNIQUEID=1601506150.2583, CHANNEL=SIP/645-00000567, name=outgoing-dialtone-wrapper
2020-09-30 15:49:18,704, CALLERID(number)=0000000000, UNIQUEID=1601506150.2583, CHANNEL=SIP/645-00000567, name=macro-filterdial
2020-09-30 15:49:19,078, CALLERID(number)=0000000000, UNIQUEID=1601506150.2583, CHANNEL=SIP/645-00000567, name=macro-dial
2020-09-30 15:54:39,902, CALLERID(number)=0000000000, UNIQUEID=1601506479.2585, CHANNEL=SIP/twilio-termination-00000569, name=default-incoming
2020-09-30 15:54:40,001, CALLERID(number)=0000000000, UNIQUEID=1601506479.2585, CHANNEL=SIP/twilio-termination-00000569, name=ring-oskar
2020-09-30 15:55:40,145, CALLERID(number)=0000000000, UNIQUEID=1601506479.2585, CHANNEL=SIP/twilio-termination-00000569, name=incoming-dialstatus-BUSY-oskar
2020-09-30 15:57:08,117, CALLERID(number)=0000000000, UNIQUEID=1601506627.2590, CHANNEL=SIP/645-0000056b, name=outgoing-by-calling-extension
2020-09-30 15:57:10,278, CALLERID(number)=0000000000, UNIQUEID=1601506627.2590, CHANNEL=SIP/645-0000056b, name=outgoing_portland_menu
2020-09-30 15:57:11,034, CALLERID(number)=0000000000, UNIQUEID=1601506627.2590, CHANNEL=SIP/645-0000056b, name=outgoing-dialtone-wrapper
2020-09-30 15:57:22,403, CALLERID(number)=0000000000, UNIQUEID=1601506642.2592, CHANNEL=SIP/645-0000056c, name=outgoing-by-calling-extension
2020-09-30 15:57:24,703, CALLERID(number)=0000000000, UNIQUEID=1601506642.2592, CHANNEL=SIP/645-0000056c, name=outgoing_portland_menu
2020-09-30 15:57:34,371, CALLERID(number)=0000000000, UNIQUEID=1601506654.2594, CHANNEL=SIP/645-0000056d, name=outgoing-by-calling-extension
2020-09-30 15:57:36,517, CALLERID(number)=0000000000, UNIQUEID=1601506654.2594, CHANNEL=SIP/645-0000056d, name=outgoing_portland_menu
2020-09-30 15:57:42,206, CALLERID(number)=0000000000, UNIQUEID=1601506654.2594, CHANNEL=SIP/645-0000056d, name=outgoing-dialtone-wrapper
2020-09-30 15:57:54,491, CALLERID(number)=0000000000, UNIQUEID=1601506654.2594, CHANNEL=SIP/645-0000056d, name=macro-filterdial
2020-09-30 15:57:54,867, CALLERID(number)=0000000000, UNIQUEID=1601506654.2594, CHANNEL=SIP/645-0000056d, name=macro-dial
2020-09-30 16:00:51,640, CALLERID(number)=0000000000, UNIQUEID=1601506851.2597, CHANNEL=SIP/645-0000056f, name=outgoing-by-calling-extension
2020-09-30 16:00:53,928, CALLERID(number)=0000000000, UNIQUEID=1601506851.2597, CHANNEL=SIP/645-0000056f, name=outgoing_portland_menu
2020-09-30 16:00:54,436, CALLERID(number)=0000000000, UNIQUEID=1601506851.2597, CHANNEL=SIP/645-0000056f, name=outgoing-dialtone-wrapper
2020-09-30 16:01:00,621, CALLERID(number)=0000000000, UNIQUEID=1601506851.2597, CHANNEL=SIP/645-0000056f, name=macro-filterdial
2020-09-30 16:01:00,987, CALLERID(number)=0000000000, UNIQUEID=1601506851.2597, CHANNEL=SIP/645-0000056f, name=macro-dial
2020-09-30 17:00:22,194, CALLERID(number)=0000000000, UNIQUEID=1601510421.2600, CHANNEL=SIP/668-00000571, name=outgoing-by-calling-extension
2020-09-30 17:00:23,922, CALLERID(number)=0000000000, UNIQUEID=1601510421.2600, CHANNEL=SIP/668-00000571, name=outgoing_portland_menu
2020-09-30 17:00:30,696, CALLERID(number)=0000000000, UNIQUEID=1601510421.2600, CHANNEL=SIP/668-00000571, name=outgoing-dialtone-wrapper
2020-09-30 17:00:36,925, CALLERID(number)=0000000000, UNIQUEID=1601510421.2600, CHANNEL=SIP/668-00000571, name=macro-filterdial
2020-09-30 17:00:37,305, CALLERID(number)=0000000000, UNIQUEID=1601510421.2600, CHANNEL=SIP/668-00000571, name=macro-dial
2020-09-30 17:01:22,711, CALLERID(number)=0000000000, UNIQUEID=1601510482.2603, CHANNEL=SIP/668-00000573, name=outgoing-by-calling-extension
2020-09-30 17:01:24,432, CALLERID(number)=0000000000, UNIQUEID=1601510482.2603, CHANNEL=SIP/668-00000573, name=outgoing_portland_menu
2020-09-30 17:01:26,126, CALLERID(number)=0000000000, UNIQUEID=1601510482.2603, CHANNEL=SIP/668-00000573, name=outgoing-dialtone-wrapper
2020-09-30 17:01:33,201, CALLERID(number)=0000000000, UNIQUEID=1601510482.2603, CHANNEL=SIP/668-00000573, name=macro-filterdial
2020-09-30 17:01:33,586, CALLERID(number)=0000000000, UNIQUEID=1601510482.2603, CHANNEL=SIP/668-00000573, name=macro-dial
2020-09-30 17:23:32,840, CALLERID(number)=0000000000, UNIQUEID=1601511812.2606, CHANNEL=SIP/twilio-termination-00000575, name=default-incoming
2020-09-30 17:23:32,945, CALLERID(number)=0000000000, UNIQUEID=1601511812.2606, CHANNEL=SIP/twilio-termination-00000575, name=ring-detroitbusco
2020-09-30 18:42:49,534, CALLERID(number)=0000000000, UNIQUEID=1601516569.2609, CHANNEL=SIP/640-00000577, name=outgoing-by-calling-extension
2020-09-30 18:42:51,743, CALLERID(number)=0000000000, UNIQUEID=1601516569.2609, CHANNEL=SIP/640-00000577, name=outgoing_portland_menu
